user_id,product_id,category,price,discount_applied,payment_method,purchase_date,pages_visited,time_spent,add_to_cart,abandoned_cart,rating,review_text,sentiment_score,age,gender,income_level,location,purchase_decision
b93e568c-81fc-4db8-8509-2940e261b2f2,6badd48c-5349-444b-9f92-8a27c11ce05f,Clothing,389.23,46.99,Credit Card,2025-01-31 04:07:28,6,955,0,0,4,Start similar morning police quality various most foreign worker fine may.,0.16,51,Other,Low,Jeremyview,0
68c55d68-1074-48af-80ae-b5dad0915b8d,fe635f30-f9bb-4ca9-8a0d-3d6c67e2ae23,Clothing,344.81,9.11,COD,2025-01-21 06:07:28,8,790,1,0,3,Candidate level take evening almost push social.,0.03,54,Male,High,South Amy,1
a5adbe49-8208-459a-b72d-1b2960b38ade,e9dc8006-25eb-4aec-9c11-a2b33037b01b,Electronics,180.59,19.37,COD,2025-02-05 00:30:15,3,336,0,0,1,Way nearly value Republican part foot degree in artist model.,0.1,49,Female,Low,West Lisaside,0
d0f1b4e1-d647-46d9-b88a-fea1beb8239f,8c7073db-ee68-415b-9686-ae6f068c9d2d,Grocery,415.26,25.18,Debit Card,2025-01-08 16:03:46,4,624,1,0,4,Drive eight upon do work share fear soldier none difficult garden.,-0.5,20,Male,Low,Lake Deanport,1
2d530715-fb4f-40c5-95bb-02367d3c8c2c,864100c8-2502-4717-ba77-4261eae803f8,Electronics,352.82,46.07,PayPal,2025-02-27 19:53:59,4,579,0,0,5,Drug late look state concern personal go second.,-0.1,21,Other,Medium,Gloriaborough,0
de7b8a47-dfc6-435a-b3ae-3b5ccda7d139,44843cff-4216-4edf-bff8-f0dad8307243,Clothing,8.76,25.69,COD,2025-03-05 01:45:27,11,684,0,0,3,Western bank available year condition team detail oil example allow land detail professor what apply.,0.2,27,Female,High,Murphyburgh,0
a62cd024-06c7-42fa-842f-77bc82342b68,88e134aa-ddbf-46e1-85eb-98c4a89f1e3d,Books,376.15,27.96,PayPal,2025-03-01 05:34:05,7,674,0,0,5,Simple job education southern simple agent store stop pattern medical I story resource instead social perform.,0.01,34,Male,Medium,Perrybury,0
e7c08942-72f9-422b-a382-55d580e45897,768740aa-f7ed-4edb-937b-14b7f82c4c6e,Electronics,144.33,49.53,COD,2025-03-04 20:21:20,18,193,0,0,4,Whose as so discuss see window picture month out player.,0.0,61,Other,High,Williamsfort,0
4c39617f-c596-474e-90c0-eabbe5d2d3eb,9edfb832-038f-4ea5-bbc1-a9cee92f7406,Books,363.81,8.02,Debit Card,2025-02-22 13:06:47,1,574,0,0,5,Music we prepare since if drive half ok them west none any.,0.17,51,Other,Medium,Lake Christopherview,0
2a180097-dc28-4fad-8aa1-2614b6111ee4,ff56a966-ac36-4cb5-846e-cec064f8422c,Furniture,258.78,30.63,PayPal,2025-01-08 12:08:02,3,884,1,1,3,Risk them police town that with push test record.,0.0,49,Female,High,Lake Bethview,0
1dbd1091-48e7-4cf1-aa8e-ec197ab5b539,8108e76c-358d-4a60-b918-4c05c36ac70d,Electronics,415.54,8.6,Credit Card,2025-02-05 04:01:52,1,41,0,0,5,Sing near part say my create learn range bar manage these though.,0.1,35,Other,Low,Paulabury,0
4cac9b6f-1bb3-48bc-baa5-d2d316bf522b,b0d8f01b-b111-40c5-99bc-4a4154bae0ae,Grocery,399.3,47.48,Debit Card,2025-01-06 20:33:43,9,717,1,1,1,Group population ok imagine talk similar.,0.25,50,Female,High,North Ronaldville,0
071d07c5-03da-49ee-bbc7-05bc058ddf7f,84193df6-3753-4ac1-9e5c-0af7f01d3e46,Grocery,183.57,29.6,PayPal,2025-02-11 17:23:59,13,868,0,0,3,Affect company remain report best.,1.0,18,Other,High,New Juantown,0
920f245f-2f48-488e-8ec3-364c40097d59,298f95bd-d6db-49d2-a054-b032de64fd8d,Electronics,220.52,23.06,COD,2025-02-27 10:39:54,13,1175,1,1,4,Red one its throw might bad article seven window major doctor young.,-0.13,43,Male,High,Rachelberg,0
11a1d588-f7b0-482a-8831-b5d08a68e88c,9f564d1b-db90-44e1-b64b-92ed01e8b68c,Furniture,497.58,37.48,COD,2025-02-27 06:14:21,4,61,0,0,3,East light catch city make economic project education least another bank a represent.,0.1,19,Female,High,Sanchezport,0
e2798e6b-ff85-481e-9150-330cf30e28bb,5dac3948-46c4-4843-8087-12e646219cb7,Books,396.17,36.64,Debit Card,2025-01-24 00:13:37,11,246,0,0,1,Key old defense bag sure.,0.2,55,Male,Medium,Suzanneton,0
ba036897-ae76-4673-99a9-0addcfc7b828,b766798f-c24f-453c-bd79-fa0af63009d6,Grocery,149.8,27.14,Credit Card,2025-03-09 13:14:17,18,112,0,0,3,Later cause too Republican light physical painting next not represent movement anyone society.,0.1,48,Male,Medium,North Brandy,0
471f3237-8ed9-4d2d-9698-2eca7e6b5f56,68402ef3-a369-4876-9673-e99042e3719f,Grocery,238.63,26.09,PayPal,2025-03-07 12:45:54,6,858,1,1,4,Believe probably spring tough top tell create he defense street.,0.06,52,Female,Low,Davidhaven,0
38560b18-d6f9-44e2-a729-832a64adea24,c0439071-47cd-4033-b8a3-13a288db8ba9,Clothing,468.22,19.06,Debit Card,2025-03-08 15:42:42,3,192,0,0,2,Protect network especially meeting note other trouble change all.,-0.11,54,Other,Low,North Nicholasmouth,0
4ed166c5-83f6-47fa-bd2c-53d4701d256f,4510546d-4915-4d8a-8287-4973a31b7f68,Furniture,188.71,21.4,Credit Card,2025-02-20 09:38:35,5,992,1,1,5,Discover ask red election write may prove style on mission future.,0.0,28,Other,Medium,East David,0
8f974a7d-96e3-46d8-8a8b-075714070ff1,b6e11489-d333-44f8-aff6-6d823da99322,Electronics,159.4,14.29,Debit Card,2025-01-11 10:04:58,19,550,1,1,2,Special side herself scene yet address upon style.,0.36,35,Female,Low,Toddfort,0
f41a4d40-f596-4ded-8b3a-c261884e0abd,9cf5eef4-29c3-4043-92b5-3fac489003a6,Books,90.81,46.23,Debit Card,2025-02-14 06:17:10,2,149,1,0,3,Quality theory simple rich take if.,0.19,49,Male,Medium,Amandastad,1
4227565c-0c09-4088-ab83-e88117af7179,30e447f6-289e-4648-9175-e221d67b4111,Books,378.52,37.3,Debit Card,2025-02-19 21:42:51,6,414,0,0,2,Think can building present push product win month.,0.4,24,Male,High,Jenniferberg,0
14ba4257-8306-42ae-a0dd-cb7fde55c3c9,968962df-09cc-4fbe-86df-0b8ae47d180a,Furniture,98.19,27.31,Debit Card,2025-01-10 00:44:26,14,409,1,0,5,Certainly seem whom kid than only last court quickly civil say various.,0.11,63,Female,Low,Lake Christopher,1
65bc01a8-1e50-484a-a65b-067c6a2b308e,9ec89753-6f5a-4d01-bae8-7ce7100ed5a9,Electronics,266.65,1.15,Credit Card,2025-02-18 18:20:45,18,884,0,0,4,Study require remember often road evidence check culture something black chair develop my.,-0.17,38,Male,High,Carloschester,0
011663fa-80b6-4f19-93b6-b149d8cdedcd,50783f17-ebc9-463d-8a21-349d864fc36a,Grocery,188.49,39.0,Debit Card,2025-02-22 08:56:50,10,561,1,0,4,Well give take order beautiful almost.,0.85,45,Other,Medium,Port Lisaberg,1
e03963ad-da80-44a4-9821-a66f96dff01b,b14e1344-6d43-457c-9b76-e159d127b2f6,Grocery,125.2,20.78,Debit Card,2025-02-20 17:12:51,8,616,0,0,4,His feel pass could.,0.0,26,Male,Medium,South Benjaminport,0
a2b8ff94-f3a1-4a7c-9c20-f5e7d0b6c394,897c608f-0c37-41b3-9e47-825e878616a2,Books,347.32,8.76,Debit Card,2025-03-01 17:46:01,7,1130,1,0,5,Town simply without generation.,0.0,27,Other,High,New Antonio,1
ad18f096-1b4a-4955-a2c3-116bbd0e282d,07564e58-0c86-40cb-8eb0-f1a88e3c2636,Clothing,355.62,35.49,Debit Card,2025-03-09 00:46:40,19,75,0,0,3,Picture interest exactly some soldier let skin positive party economy number.,0.24,42,Other,Low,Brittanytown,0
ba4b092b-9511-4a76-8d07-fa5b98d9d68f,3d0a1a26-8ae7-47d0-8f89-4c6586a77d20,Grocery,473.42,41.02,Credit Card,2025-01-05 00:42:42,13,964,1,1,4,Value town above respond draw suffer entire age thank really both so authority bad possible we more member personal.,0.0,23,Other,Medium,North Justin,0
01709729-d463-44f0-819c-ab6b04083af9,c2127379-8fa6-458d-9e4e-c794c5fbed32,Electronics,496.42,43.89,COD,2025-02-24 09:05:24,19,156,1,1,2,Economy among late policy blood three help behind every might expert magazine.,-0.35,44,Other,High,Lake Whitneytown,0
ddb975ea-8e77-4074-b72a-b8786a81bca4,c472c208-f35d-4ec8-9969-5f3c7859ad57,Grocery,52.2,30.92,PayPal,2025-01-31 06:05:14,14,750,1,1,2,Certain on owner cut animal girl stop message.,0.21,52,Male,Medium,New Paul,0
20ea3f6a-599b-42f2-a200-c65d28c5fcb2,4253fde8-8919-4ce1-b623-0e4a84a5e3fb,Books,363.62,18.36,PayPal,2025-01-09 06:35:52,19,424,0,0,1,Leg rate task board instead suffer lot.,0.0,55,Female,High,Michaelborough,0
eee25316-7342-471c-b217-9b0903a100cf,b095ceb3-4bf1-4eb3-8901-f1eab71ddb14,Books,306.2,3.06,Credit Card,2025-02-05 06:07:18,3,1055,1,0,2,Investment pay citizen common pattern on line.,-0.3,63,Female,High,Barbarastad,1
51a0074f-95aa-48ef-b7d1-f51b5e9ce6f8,a6165e6c-f34f-47c8-8f8e-2a8dc5e3062f,Clothing,210.66,24.96,COD,2025-02-02 00:44:30,11,737,1,0,2,Environmental technology be green teacher race resource four office special list painting.,0.08,45,Female,High,Lake Thomas,1
5f9db24e-fb14-449f-ab31-cc8ea5fd66df,d7ca4c28-1b0d-4445-9e2a-693f1f8e1068,Furniture,22.98,13.07,COD,2025-02-22 09:43:52,4,546,0,0,4,Dinner wish citizen result training radio degree near building find north alone.,0.1,40,Other,Medium,East Jeanette,0
b5095aef-1b3e-4ffe-9fc5-47563a0e842f,2575051b-8e97-40f0-82f7-8d00d1b88ce6,Electronics,367.44,9.22,Debit Card,2025-02-06 00:37:35,15,47,0,0,4,Window factor kitchen training.,0.0,50,Female,Low,Cherylshire,0
fd1c104d-2e44-4a21-9311-4e19670d447c,a5631981-2462-4667-83cf-2f32f1067ea2,Books,217.8,23.99,PayPal,2025-03-04 02:06:38,2,287,1,1,2,Serious everybody end old.,-0.12,34,Male,High,Lake Charlesshire,0
fb450371-4ef2-494c-92a6-7f98e91581ba,0a7619ed-c7f0-46d8-bc56-3d1c8e5c5cb9,Books,34.64,7.91,COD,2025-03-05 18:28:56,11,961,1,1,1,Us fall drug ground although member test.,0.0,47,Other,Low,Jonesmouth,0
50f52e2d-0055-46f2-bb79-8c16c78564e4,d9a45c6b-7af6-48c2-b158-71f7862e33e9,Electronics,230.86,36.16,Debit Card,2025-03-04 02:11:42,5,128,0,0,1,Family second medical game tonight bank of he green born.,-0.15,19,Male,Low,New Jasonshire,0
7ab64ed4-429a-4f44-9546-6cf90bc16fc2,39019390-21c6-4e64-93d6-0eda60beda22,Books,494.88,27.19,PayPal,2025-03-08 20:33:47,19,488,0,0,4,Network gun interest item have network gas stuff only arrive.,0.0,28,Other,Low,Lake Seanburgh,0
faf3be4a-a5d2-452f-9939-8338517199f9,aa53553d-2bb8-4d2d-9f0d-8816528fcfdf,Books,485.95,3.5,Credit Card,2025-01-09 02:49:00,7,716,0,0,5,Democrat total data head.,0.0,48,Female,Low,Lake Brandishire,0
a1059960-e7ad-4250-a557-3994a5f7081d,534ce2bc-154c-4f86-9639-e67253bc6867,Clothing,377.36,16.73,PayPal,2025-02-11 00:19:57,11,948,1,1,4,Ball shoulder really foreign fire course feel.,-0.12,57,Female,Medium,Mariechester,0
3070b19a-61bd-4113-be5c-39244b6eac72,4a37d704-c898-478b-ad9b-f603a67c0eb6,Electronics,250.66,34.78,COD,2025-01-14 01:18:01,19,34,1,0,2,Responsibility little education arm society me.,-0.19,48,Female,Medium,Port Heather,1
